URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
1.0,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,27,19,0.17,0.11,17.7,0.18,7.152,17.74,73,408,1.963235294117647,4,5.097982708933718
2.0,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,32,12,0.45,0.12,13.9,0.24,5.656000000000001,13.89,89,375,2.1013333333333333,2,5.298555377207062
3.0,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,109,41,0.45,0.14,14.0,0.22,5.688000000000001,14.03,230,1066,2.095684803001876,13,5.367521367521367
4.0,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,17,3,0.7,0.08,17.6,0.26,7.144000000000002,17.57,64,246,2.1504065040650406,1,5.2995283018867925
5.0,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,43,20,0.37,0.16,10.8,0.22,4.408,10.76,88,398,2.0879396984924625,21,4.990084985835694
6.0,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,59,22,0.46,0.12,14.6,0.22,5.928000000000001,14.64,152,688,2.1656976744186047,3,5.405967450271247
7.0,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,74,56,0.14,0.15,14.6,0.18,5.912,14.62,154,877,2.135689851767389,1,5.566844919786096
8.0,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,59,25,0.4,0.11,13.7,0.19,5.556,13.68,151,780,2.1705128205128204,8,5.2217125382263
9.0,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,84,26,0.53,0.14,11.4,0.18,4.632000000000001,11.37,144,807,2.0991325898389097,3,5.281992337164751
10.0,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,36,33,0.04,0.21,9.7,0.18,3.952,9.71,61,330,1.9848484848484849,2,4.955403087478559
11.0,https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,44,14,0.52,0.15,11.9,0.17,4.828,11.88,66,380,2.1894736842105265,3,5.22488038277512
12.0,https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,52,47,0.05,0.14,10.2,0.16,4.144,10.21,108,694,1.9495677233429394,30,4.955835962145111
13.0,https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,16,12,0.14,0.11,10.0,0.24,4.096,10.0,61,250,2.104,0,5.196078431372549
14.0,https://insights.blackcoffer.com/future-of-work-robot-ai-and-automation/,26,8,0.53,0.11,11.9,0.27,4.868,11.88,84,309,2.2524271844660193,5,5.241007194244604
15.0,https://insights.blackcoffer.com/how-ai-will-help-the-defense-power-of-a-country/,57,63,-0.05,0.16,8.3,0.18,3.3920000000000003,8.3,136,764,2.079842931937173,7,4.995658465991317
